id,name,brand,description,price,category,image_url,manufacturer,package_dimensions,country_of_origin,material,color,uniq_id
1,Modern Wooden Dining Table,FurniCraft,"A sleek modern wooden dining table for family meals and gatherings. Solid oak tabletop, durable legs, classic finish.",15999,Furniture,https://example.com/images/dining_table.jpg,FurniCraft Industries,"150x90x75 cm",India,Oak wood,Brown,UID0001
2,Ergonomic Office Chair,ErgoSeat,"Comfortable adjustable office chair with lumbar support and breathable mesh back for all-day use.",8999,Furniture,https://example.com/images/office_chair.jpg,ErgoSeat Ltd.,"70x70x110 cm",India,Mesh/Metal,Black,UID0002
3,Minimalist Bookshelf,OakLine,"Five-tier bookshelf made of solid oak wood with minimalist design and reinforced shelves.",7499,Furniture,https://example.com/images/bookshelf.jpg,OakLine Furnishings,"80x30x180 cm",India,Oak wood,Natural,UID0003
4,LED Floor Lamp,GlowBright,"Stylish LED lamp with touch controls, adjustable brightness and warm-cool light modes.",3499,Lighting,https://example.com/images/floor_lamp.jpg,GlowBright Co.,"40x40x160 cm",China,Metal/Plastic,White,UID0004
5,Queen Size Bed Frame,RestWell,"Sturdy wooden bed frame with modern headboard and easy assembly. Supports mattress up to 200kg.",21999,Furniture,https://example.com/images/bed_frame.jpg,RestWell Pvt Ltd,"210x160x110 cm",India,Plywood/Oak,Brown,UID0005
6,Decorative Wall Mirror,Mirra,"Round mirror with gold metal frame that adds a premium look to living rooms and bedrooms.",2999,Home Decor,https://example.com/images/wall_mirror.jpg,Mirra Decor,"60x5x60 cm",India,Glass/Metal,Gold,UID0006
7,Ceramic Vase,HandmadeCrafts,"Handcrafted ceramic vase perfect for living room decoration, glazed finish.",1199,Home Decor,https://example.com/images/ceramic_vase.jpg,HandmadeCrafts,"25x25x40 cm",India,Ceramic,Blue,UID0007
8,Soft Cotton Bedsheet,CozyHome,"Premium double bedsheet with two pillow covers, 100% cotton and breathable weave.",1499,Home Decor,https://example.com/images/bedsheet.jpg,CozyHome Textiles,"210x240x2 cm",India,Cotton,White,UID0008
9,Recliner Sofa,ComfortLine,"Comfortable 3-seater recliner sofa with soft cushions and durable fabric upholstery.",34999,Furniture,https://example.com/images/recliner_sofa.jpg,ComfortLine Furnishers,"220x95x100 cm",India,Fabric/PU,Grey,UID0009
10,Glass Coffee Table,UrbanGlass,"Round glass top table with metallic base, modern look for living rooms.",4999,Furniture,https://example.com/images/coffee_table.jpg,UrbanGlass Co.,"90x90x45 cm",China,Glass/Metal,Silver,UID0010
11,Accent Cushion Set,Plushie,"Set of 4 decorative cushions with premium filling and washable covers.",799,Home Decor,https://example.com/images/cushions.jpg,Plushie Home,"40x40x10 cm",India,Cotton/Microfiber,Multi,UID0011
12,Wall Shelf Floating,SpaceSave,"Floating wall shelf with hidden bracket and smooth finish, ideal for minimal interiors.",1999,Home Decor,https://example.com/images/wall_shelf.jpg,SpaceSave Decor,"80x20x5 cm",India,Engineered Wood,Brown,UID0012
13,Outdoor Patio Set,GardenEase,"3-piece patio set with weather-resistant finish and comfortable seating.",25999,Outdoor,https://example.com/images/patio_set.jpg,GardenEase Ltd,"180x80x90 cm",China,Wicker/Metal,Brown,UID0013
14,Study Desk with Drawer,StudyPro,"Compact study desk with storage drawer, cable management and scratch-resistant top.",7999,Furniture,https://example.com/images/study_desk.jpg,StudyPro Furnishings,"120x60x75 cm",India,Particle Board/ laminate,Natural,UID0014
15,Kids Wooden Chair,LittleRoots,"Ergonomically designed kids chair made from safe, non-toxic wood and rounded edges.",1799,Kids Furniture,https://example.com/images/kids_chair.jpg,LittleRoots,"40x35x60 cm",India,Wood,Pastel Blue,UID0015
